[2016-08-02 17:24:58,988][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `codeonline_onlinerequest`.`id`, `codeonline_onlinerequest`.`online_function`, `codeonline_onlinerequest`.`suggest_update_time`, `codeonline_onlinerequest`.`request_time`, `codeonline_onlinerequest`.`product_manager_confirm_before_online_id`, `codeonline_onlinerequest`.`test_result_tag`, `codeonline_onlinerequest`.`online_files`, `codeonline_onlinerequest`.`developer_man_confirm_before_online_id`, `codeonline_onlinerequest`.`developer_confirm_before_online_time`, `codeonline_onlinerequest`.`test_man_confirm_before_online_id`, `codeonline_onlinerequest`.`test_confirm_before_online_time`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_id`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_time`, `codeonline_onlinerequest`.`maintenance_person_comfirm_id`, `codeonline_onlinerequest`.`update_code_time`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_id`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_time`, `codeonline_onlinerequest`.`test_man_confirm_after_online_id`, `codeonline_onlinerequest`.`test_man_confirm_after_online_time`, `codeonline_onlinerequest`.`product_man_confirm_after_online_id`, `codeonline_onlinerequest`.`product_man_confirm_after_online_time`, `codeonline_onlinerequest`.`online_request_status` FROM `codeonline_onlinerequest` WHERE `codeonline_onlinerequest`.`id` = 6; args=(6,)
[2016-08-02 17:25:04,242][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_onlinerequest`.`id`, `codeonline_onlinerequest`.`online_function`, `codeonline_onlinerequest`.`suggest_update_time`, `codeonline_onlinerequest`.`request_time`, `codeonline_onlinerequest`.`product_manager_confirm_before_online_id`, `codeonline_onlinerequest`.`test_result_tag`, `codeonline_onlinerequest`.`online_files`, `codeonline_onlinerequest`.`developer_man_confirm_before_online_id`, `codeonline_onlinerequest`.`developer_confirm_before_online_time`, `codeonline_onlinerequest`.`test_man_confirm_before_online_id`, `codeonline_onlinerequest`.`test_confirm_before_online_time`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_id`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_time`, `codeonline_onlinerequest`.`maintenance_person_comfirm_id`, `codeonline_onlinerequest`.`update_code_time`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_id`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_time`, `codeonline_onlinerequest`.`test_man_confirm_after_online_id`, `codeonline_onlinerequest`.`test_man_confirm_after_online_time`, `codeonline_onlinerequest`.`product_man_confirm_after_online_id`, `codeonline_onlinerequest`.`product_man_confirm_after_online_time`, `codeonline_onlinerequest`.`online_request_status` FROM `codeonline_onlinerequest` WHERE `codeonline_onlinerequest`.`id` = 6; args=(6,)
[2016-08-02 17:25:26,282][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` WHERE `codeonline_user`.`id` = 6; args=(6,)
[2016-08-02 17:25:47,898][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` WHERE `codeonline_user`.`username` = 'zhouyufang'; args=('zhouyufang',)
[2016-08-02 17:26:56,851][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `codeonline_onlinerequest`.`id`, `codeonline_onlinerequest`.`online_function`, `codeonline_onlinerequest`.`suggest_update_time`, `codeonline_onlinerequest`.`request_time`, `codeonline_onlinerequest`.`product_manager_confirm_before_online_id`, `codeonline_onlinerequest`.`test_result_tag`, `codeonline_onlinerequest`.`online_files`, `codeonline_onlinerequest`.`developer_man_confirm_before_online_id`, `codeonline_onlinerequest`.`developer_confirm_before_online_time`, `codeonline_onlinerequest`.`test_man_confirm_before_online_id`, `codeonline_onlinerequest`.`test_confirm_before_online_time`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_id`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_time`, `codeonline_onlinerequest`.`maintenance_person_comfirm_id`, `codeonline_onlinerequest`.`update_code_time`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_id`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_time`, `codeonline_onlinerequest`.`test_man_confirm_after_online_id`, `codeonline_onlinerequest`.`test_man_confirm_after_online_time`, `codeonline_onlinerequest`.`product_man_confirm_after_online_id`, `codeonline_onlinerequest`.`product_man_confirm_after_online_time`, `codeonline_onlinerequest`.`online_request_status` FROM `codeonline_onlinerequest` WHERE `codeonline_onlinerequest`.`test_man_confirm_after_online_id` = 6 LIMIT 21; args=(6,)
[2016-08-02 17:27:00,634][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_onlinerequest`.`id`, `codeonline_onlinerequest`.`online_function`, `codeonline_onlinerequest`.`suggest_update_time`, `codeonline_onlinerequest`.`request_time`, `codeonline_onlinerequest`.`product_manager_confirm_before_online_id`, `codeonline_onlinerequest`.`test_result_tag`, `codeonline_onlinerequest`.`online_files`, `codeonline_onlinerequest`.`developer_man_confirm_before_online_id`, `codeonline_onlinerequest`.`developer_confirm_before_online_time`, `codeonline_onlinerequest`.`test_man_confirm_before_online_id`, `codeonline_onlinerequest`.`test_confirm_before_online_time`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_id`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_time`, `codeonline_onlinerequest`.`maintenance_person_comfirm_id`, `codeonline_onlinerequest`.`update_code_time`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_id`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_time`, `codeonline_onlinerequest`.`test_man_confirm_after_online_id`, `codeonline_onlinerequest`.`test_man_confirm_after_online_time`, `codeonline_onlinerequest`.`product_man_confirm_after_online_id`, `codeonline_onlinerequest`.`product_man_confirm_after_online_time`, `codeonline_onlinerequest`.`online_request_status` FROM `codeonline_onlinerequest` WHERE `codeonline_onlinerequest`.`test_man_confirm_after_online_id` = 6 LIMIT 21; args=(6,)
[2016-08-02 17:32:19,314][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-08-02 17:32:19,338][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-08-02 17:32:19,339][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
[2016-08-02 17:32:19,341][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-08-02 17:38:02,779][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
